Sequence id,Sequence Description,gene_KO_number,organism id
0,>AT1G51370.2 | Symbols:  | F-box/RNI-like/FBD-like domains-containing protein | chr1:19045615-19046748 FORWARD LENGTH=346,N.A.,ath:AT1G51370
2,>AT1G36960.1 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G48095.1); Has 54 Blast hits to 54 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 54; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:14014796-14015508 FORWARD LENGTH=181,N.A.,crb:CARUB_v10026538mg
2,>AT1G36960.1 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G48095.1); Has 54 Blast hits to 54 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 54; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:14014796-14015508 FORWARD LENGTH=181,N.A.,ath:AT5G18636
2,>AT1G36960.1 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G48095.1); Has 54 Blast hits to 54 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 54; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:14014796-14015508 FORWARD LENGTH=181,N.A.,ath:AT2G02103
2,>AT1G36960.1 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G48095.1); Has 54 Blast hits to 54 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 54; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:14014796-14015508 FORWARD LENGTH=181,N.A.,ath:AT5G25200
3,>AT1G44020.1 | Symbols:  | Cysteine/Histidine-rich C1 domain family protein | chr1:16716692-16718656 REVERSE LENGTH=577,N.A.,ath:AT1G44020
3,>AT1G44020.1 | Symbols:  | Cysteine/Histidine-rich C1 domain family protein | chr1:16716692-16718656 REVERSE LENGTH=577,N.A.,ath:AT1G44030
3,>AT1G44020.1 | Symbols:  | Cysteine/Histidine-rich C1 domain family protein | chr1:16716692-16718656 REVERSE LENGTH=577,N.A.,eus:EUTSA_v10028419mg
3,>AT1G44020.1 | Symbols:  | Cysteine/Histidine-rich C1 domain family protein | chr1:16716692-16718656 REVERSE LENGTH=577,N.A.,crb:CARUB_v10028081mg
3,>AT1G44020.1 | Symbols:  | Cysteine/Histidine-rich C1 domain family protein | chr1:16716692-16718656 REVERSE LENGTH=577,N.A.,eus:EUTSA_v10022543mg
3,>AT1G44020.1 | Symbols:  | Cysteine/Histidine-rich C1 domain family protein | chr1:16716692-16718656 REVERSE LENGTH=577,N.A.,crb:CARUB_v10015746mg
3,>AT1G44020.1 | Symbols:  | Cysteine/Histidine-rich C1 domain family protein | chr1:16716692-16718656 REVERSE LENGTH=577,N.A.,ath:AT1G66450
3,>AT1G44020.1 | Symbols:  | Cysteine/Histidine-rich C1 domain family protein | chr1:16716692-16718656 REVERSE LENGTH=577,N.A.,crb:CARUB_v10025882mg
3,>AT1G44020.1 | Symbols:  | Cysteine/Histidine-rich C1 domain family protein | chr1:16716692-16718656 REVERSE LENGTH=577,N.A.,eus:EUTSA_v10003369mg
3,>AT1G44020.1 | Symbols:  | Cysteine/Histidine-rich C1 domain family protein | chr1:16716692-16718656 REVERSE LENGTH=577,N.A.,ath:AT5G48320
4,>AT1G15970.1 | Symbols:  | DNA glycosylase superfamily protein | chr1:5486544-5488494 REVERSE LENGTH=352,K01246,ath:AT1G15970
4,>AT1G15970.1 | Symbols:  | DNA glycosylase superfamily protein | chr1:5486544-5488494 REVERSE LENGTH=352,K01246,crb:CARUB_v10009599mg
4,>AT1G15970.1 | Symbols:  | DNA glycosylase superfamily protein | chr1:5486544-5488494 REVERSE LENGTH=352,K01246,aly:ARALYDRAFT_471796
4,>AT1G15970.1 | Symbols:  | DNA glycosylase superfamily protein | chr1:5486544-5488494 REVERSE LENGTH=352,K01246,eus:EUTSA_v10008041mg
4,>AT1G15970.1 | Symbols:  | DNA glycosylase superfamily protein | chr1:5486544-5488494 REVERSE LENGTH=352,K01246,brp:103836010
4,>AT1G15970.1 | Symbols:  | DNA glycosylase superfamily protein | chr1:5486544-5488494 REVERSE LENGTH=352,K01246,brp:103842870
4,>AT1G15970.1 | Symbols:  | DNA glycosylase superfamily protein | chr1:5486544-5488494 REVERSE LENGTH=352,K01246,eus:EUTSA_v10018764mg
4,>AT1G15970.1 | Symbols:  | DNA glycosylase superfamily protein | chr1:5486544-5488494 REVERSE LENGTH=352,K01246,ath:AT1G80850
4,>AT1G15970.1 | Symbols:  | DNA glycosylase superfamily protein | chr1:5486544-5488494 REVERSE LENGTH=352,K01246,crb:CARUB_v10020671mg
4,>AT1G15970.1 | Symbols:  | DNA glycosylase superfamily protein | chr1:5486544-5488494 REVERSE LENGTH=352,K01246,aly:ARALYDRAFT_477160
5,>AT1G73440.1 | Symbols:  | calmodulin-related | chr1:27611418-27612182 FORWARD LENGTH=254,N.A.,ath:AT1G73440
5,>AT1G73440.1 | Symbols:  | calmodulin-related | chr1:27611418-27612182 FORWARD LENGTH=254,N.A.,aly:ARALYDRAFT_352812
5,>AT1G73440.1 | Symbols:  | calmodulin-related | chr1:27611418-27612182 FORWARD LENGTH=254,N.A.,eus:EUTSA_v10028898mg
5,>AT1G73440.1 | Symbols:  | calmodulin-related | chr1:27611418-27612182 FORWARD LENGTH=254,N.A.,crb:CARUB_v10001641mg
5,>AT1G73440.1 | Symbols:  | calmodulin-related | chr1:27611418-27612182 FORWARD LENGTH=254,N.A.,brp:103836944
5,>AT1G73440.1 | Symbols:  | calmodulin-related | chr1:27611418-27612182 FORWARD LENGTH=254,N.A.,tcc:TCM_005575
5,>AT1G73440.1 | Symbols:  | calmodulin-related | chr1:27611418-27612182 FORWARD LENGTH=254,N.A.,vvi:100262506
5,>AT1G73440.1 | Symbols:  | calmodulin-related | chr1:27611418-27612182 FORWARD LENGTH=254,N.A.,mtr:MTR_4g026500
5,>AT1G73440.1 | Symbols:  | calmodulin-related | chr1:27611418-27612182 FORWARD LENGTH=254,N.A.,pvu:PHAVU_010G072500g
5,>AT1G73440.1 | Symbols:  | calmodulin-related | chr1:27611418-27612182 FORWARD LENGTH=254,N.A.,egr:104444416
6,>AT1G75120.1 | Symbols: RRA1 | Nucleotide-diphospho-sugar transferase family protein | chr1:28197022-28198656 REVERSE LENGTH=402,N.A.,ath:AT1G75120
6,>AT1G75120.1 | Symbols: RRA1 | Nucleotide-diphospho-sugar transferase family protein | chr1:28197022-28198656 REVERSE LENGTH=402,N.A.,aly:ARALYDRAFT_476651
6,>AT1G75120.1 | Symbols: RRA1 | Nucleotide-diphospho-sugar transferase family protein | chr1:28197022-28198656 REVERSE LENGTH=402,N.A.,crb:CARUB_v10021694mg
6,>AT1G75120.1 | Symbols: RRA1 | Nucleotide-diphospho-sugar transferase family protein | chr1:28197022-28198656 REVERSE LENGTH=402,N.A.,crb:CARUB_v10020421mg
6,>AT1G75120.1 | Symbols: RRA1 | Nucleotide-diphospho-sugar transferase family protein | chr1:28197022-28198656 REVERSE LENGTH=402,N.A.,eus:EUTSA_v10018600mg
6,>AT1G75120.1 | Symbols: RRA1 | Nucleotide-diphospho-sugar transferase family protein | chr1:28197022-28198656 REVERSE LENGTH=402,N.A.,ath:AT1G75110
6,>AT1G75120.1 | Symbols: RRA1 | Nucleotide-diphospho-sugar transferase family protein | chr1:28197022-28198656 REVERSE LENGTH=402,N.A.,aly:ARALYDRAFT_476650
6,>AT1G75120.1 | Symbols: RRA1 | Nucleotide-diphospho-sugar transferase family protein | chr1:28197022-28198656 REVERSE LENGTH=402,N.A.,crb:CARUB_v10021612mg
6,>AT1G75120.1 | Symbols: RRA1 | Nucleotide-diphospho-sugar transferase family protein | chr1:28197022-28198656 REVERSE LENGTH=402,N.A.,ath:AT1G19360
6,>AT1G75120.1 | Symbols: RRA1 | Nucleotide-diphospho-sugar transferase family protein | chr1:28197022-28198656 REVERSE LENGTH=402,N.A.,crb:CARUB_v10011112mg
7,>AT1G17600.1 | Symbols:  | Disease resistance protein (TIR-NBS-LRR class) family | chr1:6053026-6056572 REVERSE LENGTH=1049,N.A.,ath:AT1G17600
7,>AT1G17600.1 | Symbols:  | Disease resistance protein (TIR-NBS-LRR class) family | chr1:6053026-6056572 REVERSE LENGTH=1049,N.A.,brp:103842739
7,>AT1G17600.1 | Symbols:  | Disease resistance protein (TIR-NBS-LRR class) family | chr1:6053026-6056572 REVERSE LENGTH=1049,N.A.,aly:ARALYDRAFT_471969
7,>AT1G17600.1 | Symbols:  | Disease resistance protein (TIR-NBS-LRR class) family | chr1:6053026-6056572 REVERSE LENGTH=1049,N.A.,crb:CARUB_v10004053mg
7,>AT1G17600.1 | Symbols:  | Disease resistance protein (TIR-NBS-LRR class) family | chr1:6053026-6056572 REVERSE LENGTH=1049,N.A.,crb:CARUB_v10004054mg
7,>AT1G17600.1 | Symbols:  | Disease resistance protein (TIR-NBS-LRR class) family | chr1:6053026-6056572 REVERSE LENGTH=1049,N.A.,ath:AT5G40100
7,>AT1G17600.1 | Symbols:  | Disease resistance protein (TIR-NBS-LRR class) family | chr1:6053026-6056572 REVERSE LENGTH=1049,N.A.,aly:ARALYDRAFT_916254
7,>AT1G17600.1 | Symbols:  | Disease resistance protein (TIR-NBS-LRR class) family | chr1:6053026-6056572 REVERSE LENGTH=1049,N.A.,ath:AT5G48770
7,>AT1G17600.1 | Symbols:  | Disease resistance protein (TIR-NBS-LRR class) family | chr1:6053026-6056572 REVERSE LENGTH=1049,N.A.,ath:AT1G72840
7,>AT1G17600.1 | Symbols:  | Disease resistance protein (TIR-NBS-LRR class) family | chr1:6053026-6056572 REVERSE LENGTH=1049,N.A.,aly:ARALYDRAFT_676827
8,>AT1G51380.1 | Symbols:  | DEA(D/H)-box RNA helicase family protein | chr1:19047960-19049967 FORWARD LENGTH=392,K13025,ath:AT1G51380
8,>AT1G51380.1 | Symbols:  | DEA(D/H)-box RNA helicase family protein | chr1:19047960-19049967 FORWARD LENGTH=392,K13025,aly:ARALYDRAFT_474250
8,>AT1G51380.1 | Symbols:  | DEA(D/H)-box RNA helicase family protein | chr1:19047960-19049967 FORWARD LENGTH=392,K13025,crb:CARUB_v10009334mg
8,>AT1G51380.1 | Symbols:  | DEA(D/H)-box RNA helicase family protein | chr1:19047960-19049967 FORWARD LENGTH=392,K13025,brp:103832857
8,>AT1G51380.1 | Symbols:  | DEA(D/H)-box RNA helicase family protein | chr1:19047960-19049967 FORWARD LENGTH=392,K13025,eus:EUTSA_v10011544mg
8,>AT1G51380.1 | Symbols:  | DEA(D/H)-box RNA helicase family protein | chr1:19047960-19049967 FORWARD LENGTH=392,K13025,brp:103859825
8,>AT1G51380.1 | Symbols:  | DEA(D/H)-box RNA helicase family protein | chr1:19047960-19049967 FORWARD LENGTH=392,K13025,brp:103864513
8,>AT1G51380.1 | Symbols:  | DEA(D/H)-box RNA helicase family protein | chr1:19047960-19049967 FORWARD LENGTH=392,K13025,brp:103869424
8,>AT1G51380.1 | Symbols:  | DEA(D/H)-box RNA helicase family protein | chr1:19047960-19049967 FORWARD LENGTH=392,K13025,aly:ARALYDRAFT_479492
8,>AT1G51380.1 | Symbols:  | DEA(D/H)-box RNA helicase family protein | chr1:19047960-19049967 FORWARD LENGTH=392,K13025,brp:103836967
9,>AT1G77370.1 | Symbols:  | Glutaredoxin family protein | chr1:29073916-29074642 FORWARD LENGTH=130,N.A.,ath:AT1G77370
9,>AT1G77370.1 | Symbols:  | Glutaredoxin family protein | chr1:29073916-29074642 FORWARD LENGTH=130,K03676,aly:ARALYDRAFT_895626
9,>AT1G77370.1 | Symbols:  | Glutaredoxin family protein | chr1:29073916-29074642 FORWARD LENGTH=130,K03676,brp:103837682
9,>AT1G77370.1 | Symbols:  | Glutaredoxin family protein | chr1:29073916-29074642 FORWARD LENGTH=130,K03676,crb:CARUB_v10021140mg
9,>AT1G77370.1 | Symbols:  | Glutaredoxin family protein | chr1:29073916-29074642 FORWARD LENGTH=130,K03676,eus:EUTSA_v10005112mg
9,>AT1G77370.1 | Symbols:  | Glutaredoxin family protein | chr1:29073916-29074642 FORWARD LENGTH=130,K03676,rcu:RCOM_0415510
9,>AT1G77370.1 | Symbols:  | Glutaredoxin family protein | chr1:29073916-29074642 FORWARD LENGTH=130,K03676,pvu:PHAVU_002G166500g
9,>AT1G77370.1 | Symbols:  | Glutaredoxin family protein | chr1:29073916-29074642 FORWARD LENGTH=130,K03676,gmx:100500348
9,>AT1G77370.1 | Symbols:  | Glutaredoxin family protein | chr1:29073916-29074642 FORWARD LENGTH=130,K03676,gmx:100527634
9,>AT1G77370.1 | Symbols:  | Glutaredoxin family protein | chr1:29073916-29074642 FORWARD LENGTH=130,K03676,cam:101513009
10,>AT1G44090.1 | Symbols: ATGA20OX5- GA20OX5 | gibberellin 20-oxidase 5 | chr1:16760677-16762486 REVERSE LENGTH=385,N.A.,ath:AT1G44090
10,>AT1G44090.1 | Symbols: ATGA20OX5- GA20OX5 | gibberellin 20-oxidase 5 | chr1:16760677-16762486 REVERSE LENGTH=385,N.A.,aly:ARALYDRAFT_681545
10,>AT1G44090.1 | Symbols: ATGA20OX5- GA20OX5 | gibberellin 20-oxidase 5 | chr1:16760677-16762486 REVERSE LENGTH=385,N.A.,crb:CARUB_v10011553mg
10,>AT1G44090.1 | Symbols: ATGA20OX5- GA20OX5 | gibberellin 20-oxidase 5 | chr1:16760677-16762486 REVERSE LENGTH=385,N.A.,brp:103833135
10,>AT1G44090.1 | Symbols: ATGA20OX5- GA20OX5 | gibberellin 20-oxidase 5 | chr1:16760677-16762486 REVERSE LENGTH=385,N.A.,eus:EUTSA_v10012190mg
10,>AT1G44090.1 | Symbols: ATGA20OX5- GA20OX5 | gibberellin 20-oxidase 5 | chr1:16760677-16762486 REVERSE LENGTH=385,N.A.,vvi:100267658
10,>AT1G44090.1 | Symbols: ATGA20OX5- GA20OX5 | gibberellin 20-oxidase 5 | chr1:16760677-16762486 REVERSE LENGTH=385,K05282,mus:103995686
10,>AT1G44090.1 | Symbols: ATGA20OX5- GA20OX5 | gibberellin 20-oxidase 5 | chr1:16760677-16762486 REVERSE LENGTH=385,N.A.,mus:103981807
10,>AT1G44090.1 | Symbols: ATGA20OX5- GA20OX5 | gibberellin 20-oxidase 5 | chr1:16760677-16762486 REVERSE LENGTH=385,K05282,pda:103718724
10,>AT1G44090.1 | Symbols: ATGA20OX5- GA20OX5 | gibberellin 20-oxidase 5 | chr1:16760677-16762486 REVERSE LENGTH=385,K05282,mdm:103400175
11,>AT1G10950.1 | Symbols: TMN1- AtTMN1 | transmembrane nine 1 | chr1:3659322-3663622 FORWARD LENGTH=589,K17087,ath:AT1G10950
11,>AT1G10950.1 | Symbols: TMN1- AtTMN1 | transmembrane nine 1 | chr1:3659322-3663622 FORWARD LENGTH=589,K17087,aly:ARALYDRAFT_471233
11,>AT1G10950.1 | Symbols: TMN1- AtTMN1 | transmembrane nine 1 | chr1:3659322-3663622 FORWARD LENGTH=589,K17087,crb:CARUB_v10011995mg
11,>AT1G10950.1 | Symbols: TMN1- AtTMN1 | transmembrane nine 1 | chr1:3659322-3663622 FORWARD LENGTH=589,K17087,eus:EUTSA_v10007167mg
11,>AT1G10950.1 | Symbols: TMN1- AtTMN1 | transmembrane nine 1 | chr1:3659322-3663622 FORWARD LENGTH=589,K17087,brp:103871870
11,>AT1G10950.1 | Symbols: TMN1- AtTMN1 | transmembrane nine 1 | chr1:3659322-3663622 FORWARD LENGTH=589,K17087,pvu:PHAVU_006G216500g
11,>AT1G10950.1 | Symbols: TMN1- AtTMN1 | transmembrane nine 1 | chr1:3659322-3663622 FORWARD LENGTH=589,K17087,pper:PRUPE_ppa003254mg
11,>AT1G10950.1 | Symbols: TMN1- AtTMN1 | transmembrane nine 1 | chr1:3659322-3663622 FORWARD LENGTH=589,K17087,pmum:103318896
11,>AT1G10950.1 | Symbols: TMN1- AtTMN1 | transmembrane nine 1 | chr1:3659322-3663622 FORWARD LENGTH=589,K17087,brp:103868067
11,>AT1G10950.1 | Symbols: TMN1- AtTMN1 | transmembrane nine 1 | chr1:3659322-3663622 FORWARD LENGTH=589,K17087,fve:101309262
12,>AT1G31870.1 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cytosol- nucleus; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF2050- pre-mRNA-splicing factor (InterPro:IPR018609); Has 13303 Blast hits to 9618 proteins in 489 species: Archae - 8; Bacteria - 444; Metazoa - 7153; Fungi - 2294; Plants - 942; Viruses - 128; Other Eukaryotes - 2334 (source: NCBI BLink). | chr1:11437269-11439821 FORWARD LENGTH=561,K13106,ath:AT1G31870
12,>AT1G31870.1 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cytosol- nucleus; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF2050- pre-mRNA-splicing factor (InterPro:IPR018609); Has 13303 Blast hits to 9618 proteins in 489 species: Archae - 8; Bacteria - 444; Metazoa - 7153; Fungi - 2294; Plants - 942; Viruses - 128; Other Eukaryotes - 2334 (source: NCBI BLink). | chr1:11437269-11439821 FORWARD LENGTH=561,K13106,aly:ARALYDRAFT_680924
12,>AT1G31870.1 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cytosol- nucleus; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF2050- pre-mRNA-splicing factor (InterPro:IPR018609); Has 13303 Blast hits to 9618 proteins in 489 species: Archae - 8; Bacteria - 444; Metazoa - 7153; Fungi - 2294; Plants - 942; Viruses - 128; Other Eukaryotes - 2334 (source: NCBI BLink). | chr1:11437269-11439821 FORWARD LENGTH=561,K13106,eus:EUTSA_v10007193mg
12,>AT1G31870.1 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cytosol- nucleus; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF2050- pre-mRNA-splicing factor (InterPro:IPR018609); Has 13303 Blast hits to 9618 proteins in 489 species: Archae - 8; Bacteria - 444; Metazoa - 7153; Fungi - 2294; Plants - 942; Viruses - 128; Other Eukaryotes - 2334 (source: NCBI BLink). | chr1:11437269-11439821 FORWARD LENGTH=561,K13106,crb:CARUB_v10008649mg
12,>AT1G31870.1 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cytosol- nucleus; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF2050- pre-mRNA-splicing factor (InterPro:IPR018609); Has 13303 Blast hits to 9618 proteins in 489 species: Archae - 8; Bacteria - 444; Metazoa - 7153; Fungi - 2294; Plants - 942; Viruses - 128; Other Eukaryotes - 2334 (source: NCBI BLink). | chr1:11437269-11439821 FORWARD LENGTH=561,K13106,brp:103868925
12,>AT1G31870.1 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cytosol- nucleus; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF2050- pre-mRNA-splicing factor (InterPro:IPR018609); Has 13303 Blast hits to 9618 proteins in 489 species: Archae - 8; Bacteria - 444; Metazoa - 7153; Fungi - 2294; Plants - 942; Viruses - 128; Other Eukaryotes - 2334 (source: NCBI BLink). | chr1:11437269-11439821 FORWARD LENGTH=561,K13106,tcc:TCM_026519
12,>AT1G31870.1 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cytosol- nucleus; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF2050- pre-mRNA-splicing factor (InterPro:IPR018609); Has 13303 Blast hits to 9618 proteins in 489 species: Archae - 8; Bacteria - 444; Metazoa - 7153; Fungi - 2294; Plants - 942; Viruses - 128; Other Eukaryotes - 2334 (source: NCBI BLink). | chr1:11437269-11439821 FORWARD LENGTH=561,K13106,rcu:RCOM_0170000
12,>AT1G31870.1 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cytosol- nucleus; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF2050- pre-mRNA-splicing factor (InterPro:IPR018609); Has 13303 Blast hits to 9618 proteins in 489 species: Archae - 8; Bacteria - 444; Metazoa - 7153; Fungi - 2294; Plants - 942; Viruses - 128; Other Eukaryotes - 2334 (source: NCBI BLink). | chr1:11437269-11439821 FORWARD LENGTH=561,K13106,jcu:105636370
12,>AT1G31870.1 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cytosol- nucleus; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF2050- pre-mRNA-splicing factor (InterPro:IPR018609); Has 13303 Blast hits to 9618 proteins in 489 species: Archae - 8; Bacteria - 444; Metazoa - 7153; Fungi - 2294; Plants - 942; Viruses - 128; Other Eukaryotes - 2334 (source: NCBI BLink). | chr1:11437269-11439821 FORWARD LENGTH=561,K13106,pop:POPTR_0003s08550g
